"shop_no","rgn2_nm","content"
"741373","강서구","디저트·커피, 한강공원, 달콤, 음료판매, 친구들이랑, 점심, 조각케익, 저녁, 깔끔, 시원한, 베이커리, 부드러운, 디저트홀릭, 나들이, 향이좋은, 티라미수, 얼그레이무스, 카페, 연인끼리"
"745967","성동구","디저트·커피, 주말, 여름, 달콤, 음료판매, 시원한, 디저트홀릭, 촉촉, 해쨍쨍, 부드러운, 집에서데이트, 폭염, 향이좋은, 라떼, 마끼아또, 브레드, 스무디, 여자들끼리, 그린티프라페, 브런치, 아메리카노, 카페, 요거트스무디"
"751818","서초구","일식·회, NEW, 연어사시미, 회사동료랑, 친구들이랑, 매콤, 야끼소바, 나베, 깔끔, 소스가맛있는, 이자카야, 철판요리, 주당, 한잔하고싶을때, 편맥과함께, 안주로딱좋은, 일본느낌, 문어초회, 꿀조합, 나가사키짬뽕, 문어숙회, 짭짤한, 우삼겹숙주볶음, 야식, 맛집사냥꾼"
"755740","강남구","디저트·커피, NEW, 연인끼리, 여름, 달콤, 바삭바삭, 음료판매, 딸기라떼, 시원한, 디저트홀릭, 베이커리, 향이좋은, 라떼, 여자들끼리, 달콤한, 스콘, 브런치, 착한가격, 한라봉에이드, 입맛없을때, 간식, 아메리카노, 죠리퐁라떼, 카페, 브라우니"
"759873","부평구","디저트·커피, NEW, 컵케익"
"765614","성북구","디저트·커피, 도넛, 빵, 케익"
"769756","강남구","고기, 한식, NEW, 회사동료랑, 백숙, 밥집, 깔끔, 초복중복말복, 스트레스풀자, 폭염, 맑은국물, 속이든든한, 삼계탕, 한상차림, 따끈한, 숯불닭구이, 칼칼한, 맛있게매운, 닭도리탕, 푸짐한, 보양식, 담백"
"777678","서초구","일식·회, NEW, 한끼식사되는, 덮밥덕후, 바삭바삭, 친구들이랑, 밥집, 돈까스, 입소문난, 점심, 소스가맛있는, 치킨가라아게김치동, 내방, 판모밀, 치즈돈까스, 간편하게먹기, 오므라이스, 짭짤한, 입맛없을때, 착한가격, 혼밥, 푸짐한"
"780147","부천시","디저트·커피, NEW, 와플, 아메리카노"
"793144","마포구","null"
"794150","서초구","한식, NEW, 제육볶음, 순두부찌개"
"795696","고양시 일산동구","일식·회, NEW, 대하소금구이, 간장새우"
"798148","강북구","null"
"798809","강남구","null"
"799102","용산구","null"
"800324","중구","null"
"599694","관악구","고기, 한식대첩, 한식, 고기사랑, 육식인간, 주말, 육회, 친구들이랑, 고기성애자, 입소문난, 선선할때, 저녁, 퓨전한식, 육사시미, 부드러운, 나들이, 육회탕탕이, 형제집모듬스페셜, 고퀄리티, 캠퍼스안, 육즙이흐르는, 입에서순삭, 안주로딱좋은, 재료가신선한, 남자들끼리, 육회와생연어, 퇴근후, 육회비빔밥, 푸짐한, 보양식, 사무실"
