idx,sessionid,flag
1640,cede3fcb6ac136e0b8caa7e3f962f6c6,iOS
1641,980f89e5697599df94346cbad4c6dc2a,iOS
1642,3209643b9b827d87d5f507fe157a8521,iOS
1645,5c6433bce3820b351a9042f35afd0262,iOS
1646,10dbc211e404ea4adec13d134d43965e,iOS
1647,64419b39225251c83eb33b9641ef7a75,iOS
1648,18bd4e98e9a46eccbaa01082adeca66b,iOS
1654,83f8a9df1cc6fe2e17a1f255e06dfd4e,iOS
1655,c0d80e59016ef40049690a3b807dec31,iOS
1658,8a24adbab0d9d4ef22f7e6213381a223,iOS
1662,452fb0db0121190574fdd8fbff5104b4,iOS
1671,b21c0c634885533b3eeef353f91185fa,iOS
1674,c4441d6635e2f8452f45245d111402d3,iOS
1677,bb8bcb853467c62475ed3b41c2ed0394,iOS
1682,61e4962509b493400e6d1e23208f211f,iOS
1694,f094c86e787e10fde0411eaecefde653,iOS
1695,d32c4f62e2ef42b0869d0abd0d860055,iOS
1697,fa483c264a96b28acc82a0806f4002e4,iOS
1707,7e782594e88b8d42de490bb4920ec363,iOS
