idx,sessionid,flag
1331,b8a35b63d65e36fcbcf7284db362fa06,iOS
1335,ab9ea758f63a61463efa059c7183b976,iOS
1383,401e95152f65bcd9573bb1707967e82a,iOS
1385,7891c7016850ccca28b54b3f8f0c554e,iOS
1387,dd16321402b19a3f20261e6905e4e9bf,iOS
1392,9662af44d61b6438c60c7c271d0f6540,iOS
1400,2b2bc897045777d383da4d11e8160370,iOS
1404,bab20967b3795a649c9476482138863d,iOS
1405,b64cdd470ec0cd816b4cc0c6d0e629e8,iOS
1410,c2ae34c6cda800e9f54c9b59c52f7f4a,iOS
1411,2c46a1f11e8071c8db1690d64ab57f03,iOS
1426,1aab14d7390f22db47f91547576f4d1e,iOS
1427,b7472979f3d534ed3d69b8de912a46c9,iOS
1430,371b759274806b26f8b850e1608c3a36,iOS
1433,f8c441ff0fa88aec8d83accd2a0d828a,iOS
1437,8217cc2f89bb245a1bffb51dcd0cf4d0,iOS
1441,3b5aea5fd1e819ba325e0616d63ece84,iOS
1442,d5144bf498dc7c5c165f308a9077ee6d,iOS
1445,683336bb104ab5de95a938ea3ca6ba02,iOS
1447,ae6231e786037cfedf2d39e6e7d2bd19,iOS
1453,d3828ddedff91933edc017612cb1555f,iOS
1461,45a29edd88ec1318e12e7788e547c7c4,iOS
1462,76146d126eec094f18dfd1b9a7ec27b3,iOS
1463,6e0081883e2e8a6f372013275873d88c,iOS
1464,7813b36b6272b2dd367598ce5fae571d,iOS
1465,d03f51811d512c59a22bb9af95b3744a,iOS
1466,09bc92ffe92bc49f0f19dfb4359b1147,iOS
1468,c3bfb6924e0272fdcd8a53b2ea568f74,iOS
1472,596b2f4d60bb6fc8af2d5cb99e54465b,iOS
1481,f49b04cd7ac30965f8ee32911b24f54f,iOS
1493,a78f574130094ba8a0944b596a80454c,iOS
1494,55aac286d8bd969feff06ab0b5febcee,iOS
1495,be44566bdf860445485930d417662bcb,iOS
1497,5dac9b2dd61a304de02bcad4588dc61f,iOS
1498,04966493ec324c3a1e711b8967d5fec8,iOS
1501,b8d5f4a05bc7578644507df795279585,iOS
1502,5bde735acbfc795828af1c797821ddf8,iOS
1505,9c7f6613dfeba9f595f3bccf53c539f6,iOS
1506,d7d272f0074425d237a69167958e8306,iOS
1509,622cc34e506ca5ea5f361ec65a09282e,iOS
1510,a7d5a28d336a71c8783d523096d6d62f,iOS
