,day,group,usercnt
197,2016-10-18,4,171537
198,2016-08-25,3,226722
199,2016-09-21,4,146691
200,2016-10-18,5,89215
201,2016-08-25,4,112179
202,2016-09-21,5,74738
203,2016-10-18,6,42408
204,2016-08-25,5,55927
205,2016-09-21,6,35965
206,2016-10-18,7,17355
207,2016-08-25,6,27317
208,2016-09-21,7,15456
209,2016-10-29,1,1951981
210,2016-10-02,1,1781662
211,2016-08-25,7,12249
212,2016-10-29,2,692605
213,2016-10-02,2,627797
214,2016-10-29,3,340477
215,2016-09-05,1,1645570
216,2016-10-02,3,309275
217,2016-08-09,1,1565694
218,2016-10-29,4,177280
219,2016-09-05,2,537734
220,2016-10-02,4,163963
221,2016-08-09,2,478065
222,2016-10-29,5,93955
223,2016-09-05,3,252584
224,2016-10-02,5,88285
225,2016-08-09,3,216063
226,2016-10-29,6,44568
227,2016-09-05,4,128962
228,2016-10-02,6,42859
229,2016-08-09,4,108296
230,2016-10-29,7,17442
231,2016-09-05,5,69155
232,2016-10-02,7,17321
233,2016-08-09,5,58379
234,2016-09-05,6,34663
235,2016-10-13,1,1787205
236,2016-08-09,6,29368
237,2016-09-05,7,14881
238,2016-10-13,2,653525
239,2016-09-16,1,1724286
240,2016-08-09,7,13547
241,2016-08-20,1,1826528
242,2016-10-13,3,318527
243,2016-09-16,2,597877
244,2016-08-20,2,522764
245,2016-10-13,4,164904
246,2016-09-16,3,290990
247,2016-08-20,3,234965
248,2016-10-13,5,83729
249,2016-09-16,4,152045
250,2016-08-20,4,118646
251,2016-10-13,6,40196
252,2016-09-16,5,81943
253,2016-08-20,5,62987
254,2016-10-13,7,16614
255,2016-09-16,6,39461
256,2016-08-20,6,31144
257,2016-09-16,7,17093
258,2016-10-24,1,2029905
259,2016-08-20,7,13519
260,2016-10-24,2,689819
261,2016-09-27,1,1835372
262,2016-10-24,3,334821
263,2016-08-31,1,1689993
264,2016-09-27,2,599213
265,2016-08-04,1,1615317
266,2016-10-24,4,173222
267,2016-08-31,2,529263
268,2016-09-27,3,273043
269,2016-08-04,2,480555
270,2016-10-24,5,90803
271,2016-08-31,3,243559
272,2016-09-27,4,135470
273,2016-08-04,3,214832
274,2016-10-24,6,42487
275,2016-08-31,4,123470
276,2016-09-27,5,69769
277,2016-08-04,4,108422
278,2016-10-24,7,17320
279,2016-08-31,5,66651
280,2016-09-27,6,34030
281,2016-08-04,5,59012
282,2016-08-31,6,32858
283,2016-09-27,7,14830
284,2016-08-04,6,30063
285,2016-08-31,7,14892
286,2016-10-08,1,1770050
287,2016-08-04,7,13402
288,2016-10-08,2,638789
289,2016-09-11,1,1635009
290,2016-08-15,1,1566565
291,2016-10-08,3,313379
292,2016-09-11,2,565400
293,2016-08-15,2,485522
294,2016-10-08,4,163847
295,2016-09-11,3,270504
296,2016-08-15,3,221645
297,2016-10-08,5,86810
298,2016-09-11,4,140289
299,2016-08-15,4,111689
300,2016-10-08,6,41346
301,2016-09-11,5,75007
302,2016-08-15,5,59860
303,2016-10-08,7,16388
304,2016-09-11,6,36341
305,2016-08-15,6,30028
306,2016-10-19,1,1982005
307,2016-09-11,7,15325
308,2016-09-22,1,1942000
309,2016-08-15,7,13578
310,2016-10-19,2,684455
311,2016-09-22,2,605713
312,2016-08-26,1,1751011
313,2016-10-19,3,330533
314,2016-09-22,3,281280
315,2016-08-26,2,510529
316,2016-10-19,4,169837
317,2016-09-22,4,139768
318,2016-08-26,3,228099
319,2016-10-19,5,88448
320,2016-09-22,5,70837
321,2016-08-26,4,113656
322,2016-10-19,6,42023
323,2016-09-22,6,33742
324,2016-08-26,5,56979
325,2016-10-19,7,17055
326,2016-09-22,7,14294
327,2016-08-26,6,27322
328,2016-10-30,1,1942005
329,2016-10-03,1,1779445
330,2016-08-26,7,12363
331,2016-10-30,2,692740
332,2016-10-03,2,630661
333,2016-10-30,3,339798
334,2016-09-06,1,1648648
335,2016-10-03,3,309819
336,2016-08-10,1,1557537
337,2016-10-30,4,176966
338,2016-09-06,2,543910
339,2016-10-03,4,163782
340,2016-08-10,2,479243
341,2016-10-30,5,93078
342,2016-09-06,3,254948
343,2016-10-03,5,87740
344,2016-08-10,3,216202
345,2016-10-30,6,43955
346,2016-09-06,4,129678
347,2016-10-03,6,42327
348,2016-08-10,4,108529
349,2016-10-30,7,17609
350,2016-09-06,5,69456
351,2016-10-03,7,17688
352,2016-08-10,5,57710
353,2016-09-06,6,34662
354,2016-08-10,6,29515
355,2016-09-06,7,15070
356,2016-10-14,1,1783498
357,2016-09-17,1,1769372
358,2016-08-10,7,13482
359,2016-10-14,2,653511
360,2016-09-17,2,606322
361,2016-08-21,1,1856101
362,2016-10-14,3,320495
363,2016-09-17,3,294417
364,2016-08-21,2,524545
365,2016-10-14,4,166526
366,2016-09-17,4,154523
367,2016-08-21,3,234190
368,2016-10-14,5,84820
369,2016-09-17,5,83131
370,2016-08-21,4,118165
371,2016-10-14,6,40280
372,2016-09-17,6,39988
373,2016-08-21,5,62378
374,2016-10-14,7,16667
375,2016-09-17,7,17022
376,2016-08-21,6,30839
377,2016-10-25,1,2015664
378,2016-08-21,7,13225
379,2016-10-25,2,694030
380,2016-09-28,1,1824839
381,2016-09-01,1,1676905
382,2016-10-25,3,336486
383,2016-09-28,2,609101
384,2016-09-01,2,531272
385,2016-08-05,1,1599888
386,2016-10-25,4,174075
387,2016-09-28,3,289243
388,2016-09-01,3,245811
389,2016-08-05,2,478507
390,2016-10-25,5,91495
391,2016-09-28,4,141976
392,2016-09-01,4,125670
393,2016-08-05,3,214966
394,2016-10-25,6,43708
395,2016-09-28,5,72766
396,2016-09-01,5,67121
397,2016-08-05,4,109312
398,2016-10-25,7,17811
399,2016-09-28,6,35774
400,2016-09-01,6,33411
401,2016-08-05,5,59067
402,2016-09-28,7,15321
403,2016-09-01,7,14989
404,2016-10-09,1,1772095
405,2016-08-05,6,29950
406,2016-09-12,1,1635699
407,2016-10-09,2,639149
408,2016-08-05,7,13446
409,2016-09-12,2,570675
410,2016-08-16,1,1629760
411,2016-10-09,3,314006
412,2016-09-12,3,273994
413,2016-08-16,2,497060
414,2016-10-09,4,162950
415,2016-09-12,4,142174
416,2016-08-16,3,224328
417,2016-10-09,5,85691
418,2016-09-12,5,75497
419,2016-08-16,4,113178
420,2016-10-09,6,40154
421,2016-09-12,6,36538
422,2016-08-16,5,60400
423,2016-10-09,7,16226
424,2016-09-12,7,15458
425,2016-08-16,6,30303
426,2016-10-20,1,2020840
427,2016-08-16,7,13771
428,2016-09-23,1,1899629
429,2016-10-20,2,685973
430,2016-09-23,2,588479
431,2016-10-20,3,330224
432,2016-08-27,1,1729548
433,2016-09-23,3,268612
434,2016-10-20,4,169670
435,2016-08-27,2,510283
436,2016-09-23,4,132985
437,2016-10-20,5,88301
438,2016-08-27,3,229631
439,2016-09-23,5,67491
440,2016-10-20,6,41691
441,2016-08-27,4,114659
442,2016-09-23,6,32214
443,2016-10-20,7,17174
444,2016-08-27,5,57999
445,2016-10-31,1,1935803
446,2016-09-23,7,13640
447,2016-08-27,6,28059
448,2016-10-04,1,1778289
449,2016-10-31,2,692123
450,2016-08-27,7,12220
451,2016-10-04,2,634522
452,2016-10-31,3,338741
453,2016-09-07,1,1648429
454,2016-08-11,1,1548978
455,2016-10-04,3,309656
456,2016-10-31,4,175827
457,2016-09-07,2,548297
458,2016-08-11,2,478810
459,2016-10-04,4,162483
460,2016-10-31,5,92368
461,2016-09-07,3,256994
462,2016-08-11,3,217136
463,2016-10-04,5,86589
464,2016-10-31,6,44050
465,2016-09-07,4,130731
466,2016-08-11,4,109240
467,2016-10-04,6,42016
468,2016-10-31,7,18156
469,2016-09-07,5,70402
470,2016-08-11,5,58108
471,2016-10-04,7,17386
472,2016-09-07,6,34714
473,2016-08-11,6,29693
474,2016-10-15,1,1798021
475,2016-09-07,7,15162
476,2016-08-11,7,13496
477,2016-10-15,2,657124
478,2016-09-18,1,1810372
479,2016-10-15,3,322339
480,2016-08-22,1,1863795
481,2016-09-18,2,612717
482,2016-10-15,4,168202
483,2016-08-22,2,519160
484,2016-09-18,3,297110
485,2016-10-15,5,85907
486,2016-08-22,3,229752
487,2016-09-18,4,155086
488,2016-10-15,6,40807
